question_num,length_score,rouge_l_score,bleu_score,bert_score_precision,bert_score_recall,bert_score_f1,jaccard_score,cosine_similarity,cosine_similarity_spacy,spacy_score,ragas_score_faithfulness,ragas_score_answer_relevancy,ragas_score_context_precision,ragas_score_context_recall,audience_type,experiment_name,chunksize,chunkoverlap,embedding_model,config_name,num_retrieve,llm_name
0,0.7966101694915254,0.30630630630630634,0.06732787891364103,0.7108633,0.7569474,0.73318195,0.15217391304347827,0.8383609,0.968360424041748,0.6666666666666666,0.6,0.8970529347446524,0.6968253968114603,1.0,marketing,retriever_params,512,100,all-distilroberta-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3
7,0.25,0.15584415584415584,0.04352470084375888,0.52776146,0.67146623,0.59100366,0.12,0.741655,0.8671998381614685,0.0,0.0,0.0,0.0,1.0,marketing,retriever_params,512,100,all-distilroberta-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3
11,0.23255813953488372,0.07547169811320754,0.0,0.52510977,0.6522862,0.5818295,0.0,0.30185294,0.8139280676841736,0.0,0.0,0.9689968929873186,0.7555555555303703,1.0,marketing,retriever_params,512,100,all-distilroberta-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3
19,0.82,0.16842105263157894,0.06081988435538784,0.6311785,0.6346452,0.6329071,0.05,0.4984891,0.9356428980827332,0.0,0.0,0.8999334626287281,0.3333333333,0.5,marketing,retriever_params,512,100,all-distilroberta-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3
27,0.4074074074074074,0.2784810126582279,0.07774353802951435,0.63085043,0.7751317,0.69558805,0.14285714285714285,0.76453817,0.8929513096809387,0.0,0.6,0.8717810241056175,0.94999999997625,1.0,marketing,retriever_params,512,100,all-distilroberta-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3
28,0.8095238095238095,0.35897435897435903,0.18839235203889532,0.7151022,0.746497,0.73046243,0.1935483870967742,0.90468717,0.9660239219665527,0.5,1.0,0.9595910986898244,0.99999999998,1.0,marketing,retriever_params,512,100,all-distilroberta-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3
33,0.9583333333333334,0.44,0.19744679205588161,0.72376525,0.65105236,0.68548596,0.24,0.9066805,0.9450863003730774,0.0,1.0,0.9891513944353927,0.99999999998,1.0,marketing,retriever_params,512,100,all-distilroberta-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3
53,0.4864864864864865,0.2807017543859649,0.09387133731439135,0.65525,0.69997036,0.6768724,0.1590909090909091,0.7609242,0.9620811343193054,0.0,0.5,0.8522383818369212,0.99999999998,1.0,marketing,retriever_params,512,100,all-distilroberta-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3
63,0.5588235294117647,0.2702702702702703,0.07134989920948745,0.6365253,0.7783458,0.7003278,0.19148936170212766,0.76657146,0.9684673547744751,0.0,0.8333333333333334,0.829592137484041,0.99999999998,1.0,marketing,retriever_params,512,100,all-distilroberta-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3
76,0.5064935064935064,0.1864406779661017,0.0,0.6335096,0.70567495,0.66764784,0.10204081632653061,0.7415017,0.9540961980819702,0.0,0.4444444444444444,0.8880717380817162,0.5888888888692593,1.0,marketing,retriever_params,512,100,all-distilroberta-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3
87,0.29310344827586204,0.26666666666666666,0.12973422628377315,0.6077799,0.8496808,0.7086558,0.28125,0.61291367,0.9420672655105591,0.5,0.5,0.9602918769200652,0.9999999999,1.0,marketing,retriever_params,512,100,all-distilroberta-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3
92,0.9459459459459459,0.35761589403973504,0.0,0.7071111,0.6876277,0.6972333,0.12727272727272726,0.610378,0.9678224921226501,0.0,0.9230769230769231,0.8540460432320981,0.7095238095060713,0.7777777777777778,marketing,retriever_params,512,100,all-distilroberta-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3
95,0.734375,0.15789473684210525,0.0,0.5788704,0.64488244,0.610096,0.038461538461538464,0.5521226,0.958931028842926,0.0,0.5714285714285714,0.8657496980242542,0.8874999999778125,0.6666666666666666,marketing,retriever_params,512,100,all-distilroberta-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3
103,0.5777777777777777,0.4225352112676057,0.0,0.7134031,0.81582975,0.7611862,0.24242424242424243,0.8468946,0.9633020162582397,0.0,0.75,0.9307521011360674,0.99999999998,1.0,marketing,retriever_params,512,100,all-distilroberta-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3
110,0.8392857142857143,0.2524271844660194,0.18194308434054784,0.69464153,0.66588074,0.67995715,0.15789473684210525,0.91089374,0.9637662768363953,0.0,0.0,0.9810518563895716,0.8874999999778125,1.0,marketing,retriever_params,512,100,all-distilroberta-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3
0,0.8148148148148148,0.27317073170731704,0.05432651472373298,0.6762205,0.69732666,0.6866114,0.19047619047619047,0.68389153,0.9742696285247803,0.0,1.0,0.889132874958774,0.6968253968114603,0.3333333333333333,research,retriever_params,512,100,all-distilroberta-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3
7,0.38461538461538464,0.16666666666666666,0.020372603449326617,0.6144288,0.5481677,0.57941,0.09803921568627451,0.6606293,0.9485193490982056,0.0,0.5,0.0,0.99999999998,1.0,research,retriever_params,512,100,all-distilroberta-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3
