question_num,length_score,rouge_l_score,bleu_score,bert_score_precision,bert_score_recall,bert_score_f1,jaccard_score,cosine_similarity,cosine_similarity_spacy,spacy_score,ragas_score_faithfulness,ragas_score_answer_relevancy,ragas_score_context_precision,ragas_score_context_recall,mds,audience_type,experiment_name,chunksize,chunkoverlap,embedding_model,config_name,num_retrieve,llm_name,llm_temp,llm_max_new_tokens,llm_top_p,llm_do_sample,llm_repetition_penalty,inference_time
0,0.6811594202898551,0.25,0.158455257110475,0.6474112,0.71124923,0.67783046,0.2,0.9050917,0.9634017944335938,0.3333333333333333,1.0,0.0,,1.0,,marketing,improved_prompts_mds,700,100,multi-qa-mpnet-base-dot-v1,marketing_prompt_5_improved,6,mistralai/Mistral-7B-Instruct-v0.3,0.2,200,0.95,True,1.1,105.606611
7,0.42424242424242425,0.490566037735849,0.2387902852899544,0.64628947,0.8461614,0.7328418,0.26666666666666666,0.86972827,0.898637592792511,1.0,0.3333333333333333,0.927095766100926,0.5888888888692593,1.0,0.5601219988008534,marketing,improved_prompts_mds,700,100,multi-qa-mpnet-base-dot-v1,marketing_prompt_5_improved,6,mistralai/Mistral-7B-Instruct-v0.3,0.2,200,0.95,True,1.1,105.606611
11,0.2,0.09999999999999999,0.0,0.5636741,0.7053242,0.6265934,0.03333333333333333,0.3187529,0.848177969455719,0.0,0.4,0.9121358355340984,0.817857142843512,1.0,0.6235418228403755,marketing,improved_prompts_mds,700,100,multi-qa-mpnet-base-dot-v1,marketing_prompt_5_improved,6,mistralai/Mistral-7B-Instruct-v0.3,0.2,200,0.95,True,1.1,105.606611
19,0.9024390243902439,0.2352941176470588,0.0,0.63914216,0.6316745,0.6353864,0.11538461538461539,0.66496944,0.9336869120597839,0.0,0.0,0.9520197254960784,0.6458333333171874,0.5,3.9999999983309477e-10,marketing,improved_prompts_mds,700,100,multi-qa-mpnet-base-dot-v1,marketing_prompt_5_improved,6,mistralai/Mistral-7B-Instruct-v0.3,0.2,200,0.95,True,1.1,105.606611
27,0.6666666666666666,0.2413793103448276,0.07984434410510546,0.660432,0.7337753,0.6951745,0.13043478260869565,0.8054874,0.9237759113311768,0.0,0.5,0.8929056824606092,0.8766666666491334,1.0,0.7018638159636384,marketing,improved_prompts_mds,700,100,multi-qa-mpnet-base-dot-v1,marketing_prompt_5_improved,6,mistralai/Mistral-7B-Instruct-v0.3,0.2,200,0.95,True,1.1,105.606611
28,0.918918918918919,0.4931506849315068,0.3972104640107057,0.7589498,0.77653635,0.7676424,0.34782608695652173,0.9162911,0.9741992950439453,0.8,1.0,0.9999986515568393,0.9999999999833333,1.0,0.9296507139509371,marketing,improved_prompts_mds,700,100,multi-qa-mpnet-base-dot-v1,marketing_prompt_5_improved,6,mistralai/Mistral-7B-Instruct-v0.3,0.2,200,0.95,True,1.1,105.606611
33,0.6301369863013698,0.48,0.3125220053071136,0.70053613,0.79681695,0.7455811,0.2916666666666667,0.94773364,0.9836369752883911,0.0,0.3333333333333333,0.9951381479975495,0.9999999999833333,1.0,0.6303062567723453,marketing,improved_prompts_mds,700,100,multi-qa-mpnet-base-dot-v1,marketing_prompt_5_improved,6,mistralai/Mistral-7B-Instruct-v0.3,0.2,200,0.95,True,1.1,105.606611
53,0.6428571428571429,0.3368421052631579,0.1687819077565135,0.68755174,0.73173654,0.70895636,0.22857142857142856,0.7413446,0.9659662842750549,0.0,0.8,0.0,0.9999999999833333,1.0,3.99999999853579e-10,marketing,improved_prompts_mds,700,100,multi-qa-mpnet-base-dot-v1,marketing_prompt_5_improved,6,mistralai/Mistral-7B-Instruct-v0.3,0.2,200,0.95,True,1.1,105.606611
63,0.5135135135135135,0.2905982905982906,0.06201942832937718,0.64959717,0.76393175,0.7021404,0.14285714285714285,0.9049679,0.9689626097679138,0.0,0.4444444444444444,0.953626286511201,0.9999999999833333,1.0,0.6989530020184092,marketing,improved_prompts_mds,700,100,multi-qa-mpnet-base-dot-v1,marketing_prompt_5_improved,6,mistralai/Mistral-7B-Instruct-v0.3,0.2,200,0.95,True,1.1,105.606611
76,0.6190476190476191,0.3238095238095238,0.0,0.63413846,0.6870487,0.6595341,0.16666666666666666,0.7363209,0.9632580280303955,0.0,0.5,0.8261172708909926,0.81666666664625,1.0,0.6721340772753706,marketing,improved_prompts_mds,700,100,multi-qa-mpnet-base-dot-v1,marketing_prompt_5_improved,6,mistralai/Mistral-7B-Instruct-v0.3,0.2,200,0.95,True,1.1,105.606611
